Year,State,Total_SqMi
2009,NE,"77,348"
2009,NH,"9,349"
2009,NJ,"8,723"
2009,NM,"121,590"
2009,NV,"110,572"
2009,NY,"54,555"
2009,OH,"44,826"
2009,OK,"69,899"
2009,OR,"98,379"
2009,PA,"46,054"
2009,RI,"1,545"
2009,SC,"32,020"
2009,SD,"77,116"
2009,TN,"42,144"
2009,TX,"268,596"
2009,UT,"84,897"
2009,VA,"42,775"
2009,VT,"9,616"
2009,WA,"71,298"
2009,WI,"65,496"
2009,WV,"24,230"
2009,WY,"97,813"
2010,AK,"665,384"
2010,AL,"52,420"
2010,AR,"53,179"
2010,AZ,"113,990"
2010,CA,"163,695"
2010,CO,"104,094"
2010,CT,"5,543"
2010,DE,"2,489"
2010,FL,"65,758"
2010,GA,"59,425"
2010,HI,"10,932"
2010,IA,"56,273"
2010,ID,"83,569"
2010,IL,"57,914"
2010,IN,"36,420"
2010,KS,"82,278"
2010,KY,"40,408"
2010,LA,"52,378"
2010,MA,"10,554"
2010,MD,"12,406"
2010,ME,"35,380"
2010,MI,"96,714"
2010,MN,"86,936"
2010,MO,"69,707"
2010,MS,"48,432"
2010,MT,"147,040"
2010,NC,"53,819"
2010,ND,"70,698"
2010,NE,"77,348"
2010,NH,"9,349"
2010,NJ,"8,723"
2010,NM,"121,590"
2010,NV,"110,572"
2010,NY,"54,555"
2010,OH,"44,826"
2010,OK,"69,899"
2010,OR,"98,379"
2010,PA,"46,054"
2010,RI,"1,545"
2010,SC,"32,020"
2010,SD,"77,116"
2010,TN,"42,144"
2010,TX,"268,596"
2010,UT,"84,897"
2010,VA,"42,775"
2010,VT,"9,616"
2010,WA,"71,298"
2010,WI,"65,496"
2010,WV,"24,230"
2010,WY,"97,813"
2011,AK,"665,384"
2011,AL,"52,420"
2011,AR,"53,179"
2011,AZ,"113,990"
2011,CA,"163,695"
2011,CO,"104,094"
2011,CT,"5,543"
2011,DE,"2,489"
2011,FL,"65,758"
2011,GA,"59,425"
2011,HI,"10,932"
2011,IA,"56,273"
2011,ID,"83,569"
2011,IL,"57,914"
2011,IN,"36,420"
2011,KS,"82,278"
2011,KY,"40,408"
2011,LA,"52,378"
2011,MA,"10,554"
2011,MD,"12,406"
2011,ME,"35,380"
2011,MI,"96,714"
2011,MN,"86,936"
2011,MO,"69,707"
2011,MS,"48,432"
2011,MT,"147,040"
2011,NC,"53,819"
2011,ND,"70,698"
2011,NE,"77,348"
2011,NH,"9,349"
2011,NJ,"8,723"
2011,NM,"121,590"
2011,NV,"110,572"
2011,NY,"54,555"
2011,OH,"44,826"
2011,OK,"69,899"
2011,OR,"98,379"
2011,PA,"46,054"
2011,RI,"1,545"
2011,SC,"32,020"
2011,SD,"77,116"
2011,TN,"42,144"
2011,TX,"268,596"
2011,UT,"84,897"
2011,VA,"42,775"
2011,VT,"9,616"
2011,WA,"71,298"
2011,WI,"65,496"
2011,WV,"24,230"
2011,WY,"97,813"
2012,AK,"665,384"
2012,AL,"52,420"
2012,AR,"53,179"
2012,AZ,"113,990"
2012,CA,"163,695"
2012,CO,"104,094"
2012,CT,"5,543"
2012,DE,"2,489"
2012,FL,"65,758"
2012,GA,"59,425"
2012,HI,"10,932"
2012,IA,"56,273"
2012,ID,"83,569"
2012,IL,"57,914"
2012,IN,"36,420"
2012,KS,"82,278"
2012,KY,"40,408"
2012,LA,"52,378"
2012,MA,"10,554"
2012,MD,"12,406"
2012,ME,"35,380"
2012,MI,"96,714"
2012,MN,"86,936"
2012,MO,"69,707"
2012,MS,"48,432"
2012,MT,"147,040"
2012,NC,"53,819"
2012,ND,"70,698"
2012,NE,"77,348"
2012,NH,"9,349"
2012,NJ,"8,723"
2012,NM,"121,590"
2012,NV,"110,572"
2012,NY,"54,555"
2012,OH,"44,826"
2012,OK,"69,899"
2012,OR,"98,379"
2012,PA,"46,054"
2012,RI,"1,545"
2012,SC,"32,020"
2012,SD,"77,116"
2012,TN,"42,144"
2012,TX,"268,596"
2012,UT,"84,897"
2012,VA,"42,775"
2012,VT,"9,616"
2012,WA,"71,298"
2012,WI,"65,496"
2012,WV,"24,230"
2012,WY,"97,813"
2013,AK,"665,384"
2013,AL,"52,420"
2013,AR,"53,179"
2013,AZ,"113,990"
2013,CA,"163,695"
2013,CO,"104,094"
2013,CT,"5,543"
2013,DE,"2,489"
2013,FL,"65,758"
2013,GA,"59,425"
2013,HI,"10,932"
2013,IA,"56,273"
2013,ID,"83,569"
2013,IL,"57,914"
2013,IN,"36,420"
2013,KS,"82,278"
2013,KY,"40,408"
2013,LA,"52,378"
2013,MA,"10,554"
2013,MD,"12,406"
2013,ME,"35,380"
2013,MI,"96,714"
2013,MN,"86,936"
2013,MO,"69,707"
2013,MS,"48,432"
2013,MT,"147,040"
2013,NC,"53,819"
2013,ND,"70,698"
2013,NE,"77,348"
2013,NH,"9,349"
2013,NJ,"8,723"
2013,NM,"121,590"
