Year,State,Total_Sen_Votes,Dem_Sen_Votes,Rep_Sen_Votes
2006,UT,571252.0,177459.0,356238.0
2006,VA,2370445.0,1175606.0,1166277.0
2006,VT,262419.0,216972.0,84924.0
2006,WA,2083734.0,1184659.0,832106.0
2006,WI,2138297.0,1439214.0,630299.0
2006,WV,206562.0,159154.0,47408.0
2006,WY,196215.0,57671.0,135174.0
2007,AK,308315.0,140424.0,149773.0
2007,AL,1839066.0,595018.0,1242200.0
2007,AR,1039349.0,580973.0,458036.0
2007,AZ,1526782.0,664141.0,814398.0
2007,CA,8541476.0,5076289.0,2990822.0
2007,CO,2107472.0,1081188.0,980668.0
2007,CT,1134777.0,450844.0,109198.0
2007,DE,242972.0,170567.0,69734.0
2007,FL,4793534.0,2890548.0,1826127.0
2007,GA,3220981.0,1287690.0,1864202.0
2007,HI,342842.0,210330.0,126097.0
2007,IA,1479228.0,412365.0,1038175.0
2007,ID,503932.0,132975.0,499796.0
2007,IL,5141520.0,3597456.0,1390690.0
2007,IN,1341111.0,1496976.0,1171553.0
2007,KS,1129022.0,310337.0,780863.0
2007,KY,1724362.0,850855.0,873507.0
2007,LA,1848056.0,877482.0,943014.0
2007,MA,2243835.0,1500738.0,661532.0
2007,MD,1781139.0,965477.0,787182.0
2007,ME,545128.0,113131.0,405596.0
2007,MI,3780142.0,2151278.0,1559597.0
2007,MN,2202772.0,1278849.0,835653.0
2007,MO,2128459.0,1055255.0,1006941.0
2007,MS,610921.0,213000.0,388399.0
2007,MT,406505.0,199845.0,196283.0
2007,NC,3472082.0,1632527.0,1791450.0
2007,ND,218152.0,150146.0,64417.0
2007,NE,592316.0,378388.0,213928.0
2007,NH,657086.0,221549.0,434847.0
2007,NJ,2250070.0,1200843.0,997775.0
2007,NM,558550.0,394365.0,163826.0
2007,NV,582572.0,238796.0,322501.0
2007,NY,4700632.0,2698931.0,1212902.0
2007,OH,4019236.0,2257369.0,1761037.0
2007,OK,1446846.0,596750.0,763433.0
2007,OR,1780550.0,1128728.0,565254.0
2007,PA,4081043.0,2392984.0,1684778.0
2007,RI,384993.0,206043.0,178950.0
2007,SC,1597221.0,704384.0,857167.0
2007,SD,391188.0,193340.0,197848.0
2007,TN,1833695.0,879976.0,929911.0
2007,TX,4314663.0,1555202.0,2661789.0
2007,UT,571252.0,177459.0,356238.0
2007,VA,2370445.0,1175606.0,1166277.0
2007,VT,262419.0,216972.0,84924.0
2007,WA,2083734.0,1184659.0,832106.0
2007,WI,2138297.0,1439214.0,630299.0
2007,WV,206562.0,159154.0,47408.0
2007,WY,196215.0,57671.0,135174.0
2008,AK,317723.0,151767.0,147814.0
2008,AL,2060191.0,752391.0,1305383.0
2008,AR,1011754.0,804678.0,458036.0
2008,AZ,1526782.0,664141.0,814398.0
2008,CA,8541476.0,5076289.0,2990822.0
2008,CO,2331621.0,1230994.0,990755.0
2008,CT,1134777.0,450844.0,109198.0
2008,DE,398134.0,257539.0,140595.0
2008,FL,4793534.0,2890548.0,1826127.0
2008,GA,2137956.0,909923.0,1228033.0
2008,GA,3752485.0,1757393.0,1867097.0
2008,HI,342842.0,210330.0,126097.0
2008,IA,1502918.0,941665.0,560006.0
2008,ID,644780.0,219903.0,371744.0
2008,IL,5329884.0,3615844.0,1520621.0
2008,IN,1341111.0,1496976.0,1171553.0
2008,KS,1210690.0,441399.0,727121.0
2008,KY,1800821.0,847005.0,953816.0
2008,LA,1896574.0,988298.0,867177.0
2008,MA,3102995.0,1971974.0,926044.0
2008,MD,1781139.0,965477.0,787182.0
2008,ME,724430.0,279510.0,444300.0
2008,MI,4848620.0,3038386.0,1641070.0
2008,MN,2887646.0,1212629.0,1212317.0
2008,MO,2128459.0,1055255.0,1006941.0
2008,MS,1243473.0,213000.0,683409.0
2008,MS,1247026.0,480915.0,766111.0
2008,MT,477658.0,348289.0,129369.0
2008,NC,4271970.0,2249311.0,1887510.0
2008,ND,218152.0,150146.0,64417.0
2008,NE,792511.0,317456.0,455854.0
2008,NH,694787.0,358438.0,314403.0
2008,NJ,3482445.0,1951218.0,1461025.0
2008,NM,823650.0,505128.0,318522.0
2008,NV,582572.0,238796.0,322501.0
2008,NY,4700632.0,2698931.0,1212902.0
2008,OH,4019236.0,2257369.0,1761037.0
2008,OK,1346819.0,527736.0,763375.0
2008,OR,1767504.0,864392.0,805159.0
2008,PA,4081043.0,2392984.0,1684778.0
2008,RI,438812.0,320644.0,116174.0
2008,SC,1871431.0,790621.0,1076534.0
2008,SD,380673.0,237889.0,142784.0
2008,TN,2424585.0,767236.0,1579477.0
2008,TX,7912075.0,3389365.0,4337469.0
2008,UT,571252.0,177459.0,356238.0
