Year,State,Total_Pres_Votes,Dem_Pres_Votes,Rep_Pres_Votes
2010,OR,1827864.0,1037291.0,738475.0
2010,PA,6013272.0,3276363.0,2655885.0
2010,RI,471766.0,296571.0,165391.0
2010,SC,1920969.0,862449.0,1034896.0
2010,SD,381975.0,170924.0,203054.0
2010,TN,2599749.0,1087437.0,1479178.0
2010,TX,8077795.0,3528633.0,4479328.0
2010,UT,952370.0,327670.0,596030.0
2010,VA,3723260.0,1959532.0,1725005.0
2010,VT,325046.0,219262.0,98974.0
2010,WA,3036878.0,1750848.0,1229216.0
2010,WI,2983417.0,1677211.0,1262393.0
2010,WV,713451.0,303857.0,397466.0
2010,WY,254904.0,82868.0,164958.0
2011,AK,326197.0,123594.0,193841.0
2011,AL,2099819.0,813479.0,1266546.0
2011,AR,1086617.0,422310.0,638017.0
2011,AZ,2293475.0,1034707.0,1230111.0
2011,CA,13561900.0,8274473.0,5011781.0
2011,CO,2401361.0,1288576.0,1073589.0
2011,CT,1646792.0,997772.0,629428.0
2011,DE,412412.0,255459.0,152374.0
2011,FL,8390744.0,4282074.0,4045624.0
2011,GA,3924486.0,1844123.0,2048759.0
2011,HI,456064.0,325871.0,120566.0
2011,IA,1537123.0,828940.0,682379.0
2011,ID,655122.0,236440.0,403012.0
2011,IL,5522371.0,3419348.0,2031179.0
2011,IN,2751054.0,1374039.0,1345648.0
2011,KS,1235872.0,514765.0,699655.0
2011,KY,1826620.0,751985.0,1048462.0
2011,LA,1960761.0,782989.0,1148275.0
2011,MA,3102995.0,1904097.0,1108854.0
2011,MD,2631596.0,1629467.0,959862.0
2011,ME,731163.0,421923.0,295273.0
2011,MI,5001596.0,2872579.0,2048639.0
2011,MN,2910369.0,1573354.0,1275409.0
2011,MO,2925205.0,1441911.0,1445814.0
2011,MS,1289865.0,554662.0,724597.0
2011,MT,490109.0,231667.0,242763.0
2011,NC,4310851.0,2142651.0,2128474.0
2011,ND,316621.0,141278.0,168601.0
2011,NE,801281.0,333319.0,452979.0
2011,NH,710970.0,384826.0,316534.0
2011,NJ,3868237.0,2215422.0,1613207.0
2011,NM,830158.0,472422.0,346832.0
2011,NV,967848.0,533736.0,412827.0
2011,NY,7722019.0,4645332.0,2418323.0
2011,OH,5708350.0,2940044.0,2677820.0
2011,OK,1462661.0,502496.0,960165.0
2011,OR,1827864.0,1037291.0,738475.0
2011,PA,6013272.0,3276363.0,2655885.0
2011,RI,471766.0,296571.0,165391.0
2011,SC,1920969.0,862449.0,1034896.0
2011,SD,381975.0,170924.0,203054.0
2011,TN,2599749.0,1087437.0,1479178.0
2011,TX,8077795.0,3528633.0,4479328.0
2011,UT,952370.0,327670.0,596030.0
2011,VA,3723260.0,1959532.0,1725005.0
2011,VT,325046.0,219262.0,98974.0
2011,WA,3036878.0,1750848.0,1229216.0
2011,WI,2983417.0,1677211.0,1262393.0
2011,WV,713451.0,303857.0,397466.0
2011,WY,254904.0,82868.0,164958.0
2012,AK,300495.0,122640.0,164676.0
2012,AL,2074338.0,795696.0,1255925.0
2012,AR,1069468.0,394409.0,647744.0
2012,AZ,2299254.0,1025232.0,1233654.0
2012,CA,13038547.0,7854285.0,4839958.0
2012,CO,2569516.0,1323101.0,1185243.0
2012,CT,1558204.0,905083.0,634892.0
2012,DE,413890.0,242584.0,165484.0
2012,FL,8474179.0,4237756.0,4163447.0
2012,GA,3897839.0,1773827.0,2078688.0
2012,HI,437159.0,306658.0,121015.0
