YEAR,STATE,Non-Renewable,Renewable,Total
2009,WY,42836435.0,3192777.0,46029212.0
2010,AK,5307523.0,1452052.0,6759576.0
2010,AL,141069272.0,11081240.0,152150512.0
2010,AR,55717279.0,5282905.0,61000185.0
2010,AZ,104809890.0,6941067.0,111750957.0
2010,CA,145245004.0,58880591.0,204125596.0
2010,CO,45587996.0,5132797.0,50720792.0
2010,CT,32219296.0,1130327.0,33349623.0
2010,DE,5489448.0,138197.0,5627645.0
2010,FL,224431737.0,4664198.0,229095935.0
2010,GA,131074677.0,6502265.0,137576941.0
2010,HI,10018645.0,817391.0,10836036.0
2010,IA,47200069.0,10308651.0,57508721.0
2010,ID,1856310.0,10168254.0,12024564.0
2010,IL,196095169.0,5256702.0,201351872.0
2010,IN,121481360.0,3699378.0,125180739.0
2010,KS,44451198.0,3472565.0,47923762.0
2010,KY,95197537.0,3020120.0,98217658.0
2010,LA,99308371.0,3576570.0,102884940.0
2010,MA,40534751.0,2270073.0,42804824.0
2010,MD,41366203.0,2241061.0,43607264.0
2010,ME,9055995.0,7962664.0,17018660.0
2010,MI,107468367.0,4083005.0,111551371.0
2010,MN,46190185.0,7480043.0,53670227.0
2010,MO,89786046.0,2526944.0,92312989.0
2010,MS,52982991.0,1504270.0,54487260.0
2010,MT,19349360.0,10441819.0,29791181.0
2010,NC,121838793.0,6839691.0,128678483.0
2010,ND,28589396.0,6150146.0,34739542.0
2010,NE,34822997.0,1807009.0,36630006.0
2010,NH,19486111.0,2709801.0,22195912.0
2010,NJ,64814321.0,868173.0,65682494.0
2010,NM,34179741.0,2071802.0,36251542.0
2010,NV,30702304.0,4443943.0,35146248.0
2010,NY,106675408.0,30286245.0,136961654.0
2010,OH,142469224.0,1129113.0,143598337.0
2010,OK,65281990.0,6968743.0,72250733.0
2010,OR,19827859.0,35299140.0,55126999.0
2010,PA,223174930.0,6577377.0,229752306.0
2010,RI,7594940.0,143779.0,7738719.0
2010,SC,99903624.0,4249508.0,104153133.0
2010,SD,3439086.0,6610551.0,10049636.0
2010,TN,73223280.0,9125344.0,82348625.0
2010,TX,382728386.0,28966660.0,411695046.0
2010,UT,40772876.0,1476479.0,42249355.0
2010,VA,69246625.0,3719831.0,72966456.0
2010,VT,4790765.0,1829226.0,6619990.0
2010,WA,28567383.0,74905347.0,103472729.0
2010,WI,59728260.0,4585808.0,64314067.0
2010,WV,78482414.0,2306533.0,80788947.0
2010,WY,43848574.0,4270680.0,48119254.0
2011,AK,5510554.5,1360478.29,6871032.79
2011,AL,144638949.95,11700259.89,156339209.83
2011,AR,56682045.199999996,4625490.68,61307535.89
2011,AZ,98421878.03,9703478.86,108125356.89
2011,CA,131024950.15,69779892.34,200804842.48
2011,CO,43983283.25,7449271.04,51432554.29
2011,CT,32518069.959999997,1227150.64,33745220.61
2011,DE,6432358.33,157836.47,6590194.8
2011,FL,217042388.61,4852185.470000001,221894574.08
2011,GA,118854764.02000001,5894577.140000001,124749341.16
2011,HI,9749272.26,974060.6499999999,10723332.91
2011,IA,44576792.029999994,11795120.620000001,56371912.65
2011,ID,1271812.68,15296973.22,16568785.9
2011,IL,192493972.35,7005755.6899999995,199499728.04
2011,IN,118101636.41,4029777.55,122131413.96
2011,KS,41566363.120000005,3793477.0,45359840.12
2011,KY,94945439.67,3405542.51,98350982.18
2011,LA,102004187.12,3486549.84,105490736.96
2011,MA,35699485.21,2355335.32,38054820.51
2011,MD,38449204.04,3368864.14,41818068.19
2011,ME,7500016.2,8473671.86,15973688.06
2011,MI,104849874.23,4319632.64,109169506.87
2011,MN,43967801.97,9152259.53,53120061.49
2011,MO,92450847.81,2425548.88,94876396.7
